p,pr,pc,rows,cols,total,allgather,comp,reducescatter,redistribute
1,1,1,17600,17600,3.45319,0.000127508,3.45292,6.0371e-05,7.5958e-05
2,2,1,17600,17600,1.74343,0.000164826,1.74319,4.978e-05,2.6263e-05
4,2,2,17600,17600,0.782188,0.0313997,0.750561,0.000180546,4.7077e-05
5,5,1,17600,17600,0.77966,0.00063583,0.778948,2.2864e-05,5.3823e-05
8,4,2,17600,17600,0.393282,0.000165583,0.392962,8.7418e-05,6.6468e-05
10,5,2,17600,17600,0.389601,0.0317759,0.357668,7.1612e-05,8.5709e-05
11,11,1,17600,17600,0.367829,0.026563,0.341238,8.225e-06,1.9773e-05
16,4,4,17600,17600,0.159785,0.00171642,0.157847,0.000139636,8.2138e-05
20,5,4,17600,17600,0.177813,0.0149184,0.162677,0.000154756,6.321e-05
22,11,2,17600,17600,0.158969,0.00672776,0.152094,7.957e-05,6.7955e-05
25,5,5,17600,17600,0.141035,0.00730688,0.133516,0.00017293,3.9534e-05
32,16,2,17600,17600,0.0886246,0.00418248,0.0841747,0.000182755,8.4625e-05
40,10,4,17600,17600,0.100676,0.00469828,0.0956527,0.000182843,0.000141738
44,11,4,17600,17600,0.102179,0.00177742,0.100114,0.000186846,0.000100802
50,25,2,17600,17600,0.0996466,0.0054399,0.0940263,4.5048e-05,0.000135278
55,11,5,17600,17600,0.082759,0.00107376,0.0813369,0.000185059,0.000163187
64,16,4,17600,17600,0.0494811,0.00083417,0.0471788,0.000173748,0.00129427
80,10,8,17600,17600,0.0388463,0.00123411,0.0372658,0.000166684,0.000179665
88,11,8,17600,17600,0.0469246,0.000397349,0.044909,0.000475253,0.00114296
100,10,10,17600,17600,0.0322592,0.00027891,0.0309079,0.00024542,0.000826836
110,10,11,17600,17600,0.0285382,0.0023972,0.025477,0.00053755,0.000126377
160,16,10,17600,17600,0.0223384,0.00266127,0.018456,0.00027005,0.000950979
176,16,11,17600,17600,0.0194741,0.000753934,0.0182481,0.000274164,0.00019784
